run,type,module,name,attrname,attrvalue,vectime,vecvalue
targetDc-0-20250504-18:17:42-72404,config,,,*.fg*.blade[*].maxVMs,8,,
targetDc-0-20250504-18:17:42-72404,config,,,*.fg*.blade[*].numCpuCores,8,,
targetDc-0-20250504-18:17:42-72404,config,,,*.fg*.blade[*].memorySize,16GiB,,
targetDc-0-20250504-18:17:42-72404,config,,,*.fg*.blade[*].diskSize,2TiB,,
targetDc-0-20250504-18:17:42-72404,config,,,*.fg*.blade[*].diskReadBandwidth,500Mbps,,
targetDc-0-20250504-18:17:42-72404,config,,,*.fg*.blade[*].diskWriteBandwidth,500Mbps,,
targetDc-0-20250504-18:17:42-72404,config,,,*.fg*.blade[*].cpu.cpuCore[*].speed,60000,,
targetDc-0-20250504-18:17:42-72404,config,,,*.fg*.blade[*].cpu.cpuCore[*].tick,60s,,
targetDc-0-20250504-18:17:42-72404,config,,,**.dataManagerPath,"""simData.manager""",,
targetDc-0-20250504-18:17:42-72404,config,,,**.smqIp,"""10.0.0.1""",,
targetDc-0-20250504-18:17:42-72404,config,,,**.dns,"""10.0.0.2""",,
targetDc-0-20250504-18:17:42-72404,config,,,**.ispResolver,"""10.0.0.2""",,
targetDc-0-20250504-18:17:42-72404,config,,,*.users[*].typename,SmartHouse,,
targetDc-0-20250504-18:17:42-72404,vector,MediumNet.dc.resourceManager,allocatedVms:vector,,,"1.227014314681 1.23463859323 1.23463881851 1.238263684775 1.24169889903 1.24169913391 1.24169913391 1.245487605094 1.245487830374 4.231314400366","1 1 1 1 1 1 1 1 1 1"
targetDc-0-20250504-18:17:42-72404,attr,MediumNet.dc.resourceManager,allocatedVms:vector,recordingmode,vector,,
targetDc-0-20250504-18:17:42-72404,attr,MediumNet.dc.resourceManager,allocatedVms:vector,source,allocatedVms,,
targetDc-0-20250504-18:17:42-72404,attr,MediumNet.dc.resourceManager,allocatedVms:vector,title,VMs reservadas,,
targetDc-0-20250504-18:17:42-72404,vector,MediumNet.dc.resourceManager,allocatedCores:vector,,,"1.227014314681 1.23463859323 1.23463881851 1.238263684775 1.24169889903 1.24169913391 1.24169913391 1.245487605094 1.245487830374 4.231314400366","1 1 1 1 1 1 1 1 1 1"
targetDc-0-20250504-18:17:42-72404,attr,MediumNet.dc.resourceManager,allocatedCores:vector,recordingmode,vector,,
targetDc-0-20250504-18:17:42-72404,attr,MediumNet.dc.resourceManager,allocatedCores:vector,source,allocatedCores,,
targetDc-0-20250504-18:17:42-72404,attr,MediumNet.dc.resourceManager,allocatedCores:vector,title,CPUs reservadas,,
targetDc-0-20250504-18:17:42-72404,vector,MediumNet.dc.resourceManager,allocatedRam:vector,,,"1.227014314681 1.23463859323 1.23463881851 1.238263684775 1.24169889903 1.24169913391 1.24169913391 1.245487605094 1.245487830374 4.231314400366","2 2 2 2 2 2 2 2 2 2"
targetDc-0-20250504-18:17:42-72404,attr,MediumNet.dc.resourceManager,allocatedRam:vector,recordingmode,vector,,
targetDc-0-20250504-18:17:42-72404,attr,MediumNet.dc.resourceManager,allocatedRam:vector,source,allocatedRam,,
targetDc-0-20250504-18:17:42-72404,attr,MediumNet.dc.resourceManager,allocatedRam:vector,title,Memoria RAM reservada,,
targetDc-0-20250504-18:17:42-72404,attr,MediumNet.dc.resourceManager,allocatedRam:vector,unit,GB,,
targetDc-0-20250504-18:17:42-72404,vector,MediumNet.dc.resourceManager,allocatedDisk:vector,,,"1.227014314681 1.23463859323 1.23463881851 1.238263684775 1.24169889903 1.24169913391 1.24169913391 1.245487605094 1.245487830374 4.231314400366","250 250 250 250 250 250 250 250 250 250"
targetDc-0-20250504-18:17:42-72404,attr,MediumNet.dc.resourceManager,allocatedDisk:vector,recordingmode,vector,,
targetDc-0-20250504-18:17:42-72404,attr,MediumNet.dc.resourceManager,allocatedDisk:vector,source,allocatedDisk,,
targetDc-0-20250504-18:17:42-72404,attr,MediumNet.dc.resourceManager,allocatedDisk:vector,title,Almacenamiento reservado,,
targetDc-0-20250504-18:17:42-72404,attr,MediumNet.dc.resourceManager,allocatedDisk:vector,unit,GB,,
