run,type,module,name,attrname,attrvalue,vectime,vecvalue
targetFog-0-20250510-21:17:30-64240,config,,,**.local.ipv4Delayer.rng-0,1,,
targetFog-0-20250510-21:17:30-64240,config,,,**.metropolitan.ipv4Delayer.rng-0,2,,
targetFog-0-20250510-21:17:30-64240,config,,,**.backbone.ipv4Delayer.rng-0,3,,
targetFog-0-20250510-21:17:30-64240,config,,,*.local.ipv4Delayer.config,"xmldoc(""network/local.xml"")",,
targetFog-0-20250510-21:17:30-64240,config,,,*.metropolitan.ipv4Delayer.config,"xmldoc(""network/metropolitan.xml"")",,
targetFog-0-20250510-21:17:30-64240,config,,,*.backbone.ipv4Delayer.config,"xmldoc(""network/backbone.xml"")",,
targetFog-0-20250510-21:17:30-64240,config,,,*.configurator.config,"readXML(""network/networkconf.xml"")",,
targetFog-0-20250510-21:17:30-64240,config,,,*.dns.db.zoneConfig,"readJSON(""network/dnszones.json"")",,
targetFog-0-20250510-21:17:30-64240,config,,,**.ipv4.arp.typename,GlobalArp,,
targetFog-0-20250510-21:17:30-64240,config,,,*.dc.numBlades,40,,
targetFog-0-20250510-21:17:30-64240,config,,,*.dc.zone,"""cloud""",,
targetFog-0-20250510-21:17:30-64240,config,,,*.dc.blade[*].staticAppAssignment,false,,
targetFog-0-20250510-21:17:30-64240,config,,,*.dc.blade[*].maxUsers,16,,
targetFog-0-20250510-21:17:30-64240,config,,,*.dc.blade[*].maxVMs,16,,
targetFog-0-20250510-21:17:30-64240,config,,,*.dc.blade[*].numCpuCores,16,,
targetFog-0-20250510-21:17:30-64240,config,,,*.dc.blade[*].memorySize,64GB,,
targetFog-0-20250510-21:17:30-64240,config,,,*.dc.blade[*].diskSize,4000GB,,
targetFog-0-20250510-21:17:30-64240,config,,,*.dc.blade[*].diskReadBandwidth,500Mbps,,
targetFog-0-20250510-21:17:30-64240,config,,,*.dc.blade[*].diskWriteBandwidth,500Mbps,,
targetFog-0-20250510-21:17:30-64240,config,,,*.dc.blade[*].cpu.cpuCore[*].speed,60000,,
targetFog-0-20250510-21:17:30-64240,config,,,*.dc.blade[*].cpu.cpuCore[*].tick,60s,,
targetFog-0-20250510-21:17:30-64240,config,,,*.fg*.numBlades,1,,
targetFog-0-20250510-21:17:30-64240,config,,,*.fg*.zone,"""edge""",,
targetFog-0-20250510-21:17:30-64240,config,,,*.fg*.blade[*].staticAppAssignment,false,,
targetFog-0-20250510-21:17:30-64240,config,,,*.fg*.blade[*].maxUsers,8,,
targetFog-0-20250510-21:17:30-64240,config,,,*.fg*.blade[*].maxVMs,8,,
targetFog-0-20250510-21:17:30-64240,config,,,*.fg*.blade[*].numCpuCores,8,,
targetFog-0-20250510-21:17:30-64240,config,,,*.fg*.blade[*].memorySize,16GiB,,
targetFog-0-20250510-21:17:30-64240,config,,,*.fg*.blade[*].diskSize,2TiB,,
targetFog-0-20250510-21:17:30-64240,config,,,*.fg*.blade[*].diskReadBandwidth,500Mbps,,
targetFog-0-20250510-21:17:30-64240,config,,,*.fg*.blade[*].diskWriteBandwidth,500Mbps,,
targetFog-0-20250510-21:17:30-64240,config,,,*.fg*.blade[*].cpu.cpuCore[*].speed,60000,,
targetFog-0-20250510-21:17:30-64240,config,,,*.fg*.blade[*].cpu.cpuCore[*].tick,60s,,
targetFog-0-20250510-21:17:30-64240,config,,,**.dataManagerPath,"""simData.manager""",,
targetFog-0-20250510-21:17:30-64240,config,,,**.smqIp,"""10.0.0.1""",,
targetFog-0-20250510-21:17:30-64240,config,,,**.dns,"""10.0.0.2""",,
