run,type,module,name,attrname,attrvalue,vectime,vecvalue
targetFog-0-20250504-09:46:25-69538,config,,,*.fg.blade[*].cpu.cpuCore[*].speed,60000,,
targetFog-0-20250504-09:46:25-69538,config,,,*.fg.blade[*].cpu.cpuCore[*].tick,60s,,
targetFog-0-20250504-09:46:25-69538,config,,,**.dataManagerPath,"""simData.manager""",,
targetFog-0-20250504-09:46:25-69538,config,,,**.smqIp,"""10.0.0.1""",,
targetFog-0-20250504-09:46:25-69538,config,,,**.dns,"""10.0.0.2""",,
targetFog-0-20250504-09:46:25-69538,config,,,**.ispResolver,"""10.0.0.2""",,
targetFog-0-20250504-09:46:25-69538,config,,,*.user.vms,"[{""name"":""my-vm"", ""type"":""VM_small""}]",,
targetFog-0-20250504-09:46:25-69538,config,,,*.user.remoteApps,"[{""name"":""my-service"", ""type"": ""SmallIotService"",""platform"":""my-vm""}]",,
targetFog-0-20250504-09:46:25-69538,config,,,*.user.localApps,"[{""name"":""local"", ""type"": ""SmallIotApp"", ""dependsOn"":""my-service""}]",,
targetFog-0-20250504-09:46:25-69538,config,,,*.user.sensors,"[""sensor""]",,
targetFog-0-20250504-09:46:25-69538,config,,,*.netStack.nodeTopic,"""user""",,
targetFog-0-20250504-09:46:25-69538,config,,,*.sensor.model.controllerPath,"""^.^.controller""",,
targetFog-0-20250504-09:46:25-69538,config,,,*.sensor.model.controllerInterface,"""eth0""",,
targetFog-0-20250504-09:46:25-69538,vector,SimpleFogNetwork.fg.resourceManager,allocatedVms:vector,,,"1.275614254448","1"
targetFog-0-20250504-09:46:25-69538,attr,SimpleFogNetwork.fg.resourceManager,allocatedVms:vector,recordingmode,vector,,
targetFog-0-20250504-09:46:25-69538,attr,SimpleFogNetwork.fg.resourceManager,allocatedVms:vector,source,allocatedVms,,
targetFog-0-20250504-09:46:25-69538,attr,SimpleFogNetwork.fg.resourceManager,allocatedVms:vector,title,VMs reservadas,,
targetFog-0-20250504-09:46:25-69538,vector,SimpleFogNetwork.fg.resourceManager,allocatedCores:vector,,,"1.275614254448","1"
targetFog-0-20250504-09:46:25-69538,attr,SimpleFogNetwork.fg.resourceManager,allocatedCores:vector,recordingmode,vector,,
targetFog-0-20250504-09:46:25-69538,attr,SimpleFogNetwork.fg.resourceManager,allocatedCores:vector,source,allocatedCores,,
targetFog-0-20250504-09:46:25-69538,attr,SimpleFogNetwork.fg.resourceManager,allocatedCores:vector,title,CPUs reservadas,,
targetFog-0-20250504-09:46:25-69538,vector,SimpleFogNetwork.fg.resourceManager,allocatedRam:vector,,,"1.275614254448","2"
targetFog-0-20250504-09:46:25-69538,attr,SimpleFogNetwork.fg.resourceManager,allocatedRam:vector,recordingmode,vector,,
targetFog-0-20250504-09:46:25-69538,attr,SimpleFogNetwork.fg.resourceManager,allocatedRam:vector,source,allocatedRam,,
targetFog-0-20250504-09:46:25-69538,attr,SimpleFogNetwork.fg.resourceManager,allocatedRam:vector,title,Memoria RAM reservada,,
targetFog-0-20250504-09:46:25-69538,attr,SimpleFogNetwork.fg.resourceManager,allocatedRam:vector,unit,GB,,
targetFog-0-20250504-09:46:25-69538,vector,SimpleFogNetwork.fg.resourceManager,allocatedDisk:vector,,,"1.275614254448","250"
targetFog-0-20250504-09:46:25-69538,attr,SimpleFogNetwork.fg.resourceManager,allocatedDisk:vector,recordingmode,vector,,
targetFog-0-20250504-09:46:25-69538,attr,SimpleFogNetwork.fg.resourceManager,allocatedDisk:vector,source,allocatedDisk,,
targetFog-0-20250504-09:46:25-69538,attr,SimpleFogNetwork.fg.resourceManager,allocatedDisk:vector,title,Almacenamiento reservado,,
targetFog-0-20250504-09:46:25-69538,attr,SimpleFogNetwork.fg.resourceManager,allocatedDisk:vector,unit,GB,,
