run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
targetFog-0-20240616-16:06:08-27681,param,,,**.dc.stack.app[0].replyDelay,0s,,,
targetFog-0-20240616-16:06:08-27681,param,,,**.dc.stack.app[0].localPort,443,,,
targetFog-0-20240616-16:06:08-27681,param,,,**.fg.stack.numApps,1,,,
targetFog-0-20240616-16:06:08-27681,param,,,**.fg.stack.app[0].typename,"""SimService""",,,
targetFog-0-20240616-16:06:08-27681,param,,,**.fg.stack.app[0].replyDelay,0s,,,
targetFog-0-20240616-16:06:08-27681,param,,,**.fg.stack.app[0].localPort,443,,,
targetFog-0-20240616-16:06:08-27681,vector,SimpleFogNetwork.controller.apps.appModule[0].app,roundTripTime:vector,,,,"113.029692447262 173.031827638492 233.031325153028 293.035301730763 353.034014897971 413.032767753365 473.0313878085 533.033326204042 593.029693041485 653.0296934222 713.037125426695 773.029692788329 833.030850901479 893.029692992217 953.029931632016 1013.032233472652 1073.034677817249 1133.030229102306 1193.032358425405 1253.031100427739 1313.03524262194 1373.031411596892 1433.030944421172 1493.03484829734 1553.029693554683 1613.032532247602 1673.033198339643 1733.029692849081 1793.029693236802 1853.030169898881 1913.032124812769 1973.03410599029 2033.032565848821 2093.034451298321 2153.030061064313 2213.03325703226 2273.034316894765 2333.029693386206 2393.033082483738 2453.029693358937 2513.035660471352 2573.029693527542 2633.029693867618 2693.029693486335 2753.029692672825 2813.035463547431 2873.031608064221 2933.029692722164 2993.030069626081 3053.02969241835 3113.032845975808 3173.030931737011 3233.031802219154 3293.030899599029 3353.034695676827 3413.034376189286 3473.031843323679 3533.030197563 3593.032112512752","0.060019746892991 0.062154938123001 0.061652452659018 0.06562903039395 0.064342197602002 0.063095052995948 0.061715108130954 0.063653503672981 0.060020341116001 0.060020721831052 0.067452726325996 0.06002008795997 0.06117820111001 0.060020291847991 0.060258931647013 0.062560772283064 0.065005116880002 0.060556401936992 0.062685725035863 0.061427727369846 0.065569921570841 0.061738896522911 0.061271720803006 0.065175596970903 0.060020854313962 0.062859547232847 0.063525639273848 0.060020148711828 0.06002053643283 0.060497198511939 0.062452112399797 0.064433289920999 0.062893148452076 0.064778597952227 0.060388363944185 0.063584331890979 0.064644194395896 0.060020685837117 0.063409783369025 0.060020658568192 0.065987770983156 0.060020827173048 0.060021167249033 0.060020785966117 0.060019972456303 0.06579084706209 0.061935363852172 0.060020021795026 0.060396925712212 0.060019717981049 0.063173275439112 0.061259036642241 0.062129518785241 0.061226898660152 0.065022976458295 0.064703488917075 0.062170623310067 0.060524862631155 0.062439812383218"
targetFog-0-20240616-16:06:08-27681,attr,SimpleFogNetwork.controller.apps.appModule[0].app,roundTripTime:vector,interpolationmode,none,,,
targetFog-0-20240616-16:06:08-27681,attr,SimpleFogNetwork.controller.apps.appModule[0].app,roundTripTime:vector,title,"round trip time, vector",,,
targetFog-0-20240616-16:06:08-27681,attr,SimpleFogNetwork.controller.apps.appModule[0].app,roundTripTime:vector,unit,s,,,
