run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
targetDc-14-20240608-15:20:43-136299,runattr,,,datetime,20240608-15:20:43,,,
targetDc-14-20240608-15:20:43-136299,runattr,,,experiment,targetDc,,,
targetDc-14-20240608-15:20:43-136299,runattr,,,inifile,omnetpp.ini,,,
targetDc-14-20240608-15:20:43-136299,runattr,,,iterationvars,,,,
targetDc-14-20240608-15:20:43-136299,runattr,,,iterationvarsf,,,,
targetDc-14-20240608-15:20:43-136299,runattr,,,measurement,,,,
targetDc-14-20240608-15:20:43-136299,runattr,,,network,SimpleFogNetwork,,,
targetDc-14-20240608-15:20:43-136299,runattr,,,processid,136299,,,
targetDc-14-20240608-15:20:43-136299,runattr,,,repetition,14,,,
targetDc-14-20240608-15:20:43-136299,runattr,,,replication,#14,,,
targetDc-14-20240608-15:20:43-136299,runattr,,,resultdir,results,,,
targetDc-14-20240608-15:20:43-136299,runattr,,,runnumber,14,,,
targetDc-14-20240608-15:20:43-136299,runattr,,,seedset,14,,,
targetDc-14-20240608-15:20:43-136299,param,,,**.tile*.serviceName,"""service""",,,
targetDc-14-20240608-15:20:43-136299,param,,,**.metropolitan.ipv4Delayer.config,"xmldoc(""metropolitan.xml"")",,,
targetDc-14-20240608-15:20:43-136299,param,,,**.backbone.ipv4Delayer.config,"xmldoc(""backbone.xml"")",,,
targetDc-14-20240608-15:20:43-136299,param,,,*.simData.simSchema.typename,"""SimSchemaMySQL""",,,
targetDc-14-20240608-15:20:43-136299,param,,,*.simData.simSchema.hostName,"""tcp://127.0.0.1:3306""",,,
targetDc-14-20240608-15:20:43-136299,param,,,*.simData.manager.experiment,"""Test""",,,
targetDc-14-20240608-15:20:43-136299,param,,,**.ipv4.arp.typename,"""GlobalArp""",,,
targetDc-14-20240608-15:20:43-136299,param,,,*.*.ipv4.routingTable.netmaskRoutes,"""""",,,
targetDc-14-20240608-15:20:43-136299,param,,,*.dc.numBlades,4,,,
targetDc-14-20240608-15:20:43-136299,param,,,*.dc.blade[*].staticAppAssignment,false,,,
targetDc-14-20240608-15:20:43-136299,param,,,*.dc.blade[*].isVirtualHardware,true,,,
targetDc-14-20240608-15:20:43-136299,param,,,*.dc.blade[*].maxUsers,24,,,
targetDc-14-20240608-15:20:43-136299,param,,,*.dc.blade[*].maxVMs,24,,,
targetDc-14-20240608-15:20:43-136299,param,,,*.dc.blade[*].numCpuCores,24,,,
targetDc-14-20240608-15:20:43-136299,param,,,*.dc.blade[*].memorySize,256GB,,,
targetDc-14-20240608-15:20:43-136299,param,,,*.dc.blade[*].diskSize,500GB,,,
targetDc-14-20240608-15:20:43-136299,param,,,*.dc.blade[*].diskReadBandwidth,500Mbps,,,
targetDc-14-20240608-15:20:43-136299,param,,,*.dc.blade[*].diskWriteBandwidth,500Mbps,,,
targetDc-14-20240608-15:20:43-136299,param,,,*.dc.blade[*].cpu.cpuCore[*].speed,60000,,,
targetDc-14-20240608-15:20:43-136299,param,,,*.dc.blade[*].cpu.cpuCore[*].tick,60s,,,
targetDc-14-20240608-15:20:43-136299,param,,,*.fg.numBlades,4,,,
targetDc-14-20240608-15:20:43-136299,param,,,*.fg.blade[*].staticAppAssignment,false,,,
targetDc-14-20240608-15:20:43-136299,param,,,*.fg.blade[*].isVirtualHardware,true,,,
targetDc-14-20240608-15:20:43-136299,param,,,*.fg.blade[*].maxUsers,24,,,
targetDc-14-20240608-15:20:43-136299,param,,,*.fg.blade[*].maxVMs,24,,,
targetDc-14-20240608-15:20:43-136299,param,,,*.fg.blade[*].numCpuCores,24,,,
targetDc-14-20240608-15:20:43-136299,param,,,*.fg.blade[*].memorySize,256GB,,,
targetDc-14-20240608-15:20:43-136299,param,,,*.fg.blade[*].diskSize,500GB,,,
targetDc-14-20240608-15:20:43-136299,param,,,*.fg.blade[*].diskReadBandwidth,500Mbps,,,
targetDc-14-20240608-15:20:43-136299,param,,,*.fg.blade[*].diskWriteBandwidth,500Mbps,,,
targetDc-14-20240608-15:20:43-136299,param,,,*.fg.blade[*].cpu.cpuCore[*].speed,60000,,,
targetDc-14-20240608-15:20:43-136299,param,,,*.fg.blade[*].cpu.cpuCore[*].tick,60s,,,
targetDc-14-20240608-15:20:43-136299,param,,,*.configurator.config,"xml(""<config> 	<interface hosts='*.dns' address='10.0.0.1'/> 	<interface hosts='**' address='10.x.x.x' netmask='255.x.x.x'/> </config>"")",,,
targetDc-14-20240608-15:20:43-136299,param,,,*.configurator.dumpConfig,"""ips.xml""",,,
targetDc-14-20240608-15:20:43-136299,param,,,*.tile*.sensors,2,,,
targetDc-14-20240608-15:20:43-136299,param,,,*.tile*.actuators,1,,,
targetDc-14-20240608-15:20:43-136299,param,,,*.tile*.controller*.hy.apps,"""SmartHomeAppEndToEnd""",,,
targetDc-14-20240608-15:20:43-136299,param,,,*.tile*.controller*.ns.dns,"""10.0.0.1""",,,
targetDc-14-20240608-15:20:43-136299,param,,,**.dc.**.enableQueue,false,,,
targetDc-14-20240608-15:20:43-136299,param,,,**.dc.**.hasCloudEvents,false,,,
targetDc-14-20240608-15:20:43-136299,param,,,**.dc.serviceDeployed,"""service""",,,
targetDc-14-20240608-15:20:43-136299,param,,,**.fg.**.enableQueue,false,,,
targetDc-14-20240608-15:20:43-136299,param,,,**.fg.**.hasCloudEvents,false,,,
targetDc-14-20240608-15:20:43-136299,param,,,**.fg.serviceDeployed,"""service2""",,,
targetDc-14-20240608-15:20:43-136299,param,,,**.dc.stack.numApps,1,,,
targetDc-14-20240608-15:20:43-136299,param,,,**.dc.stack.app[0].typename,"""TcpGenericServerApp""",,,
targetDc-14-20240608-15:20:43-136299,param,,,**.dc.stack.app[0].replyDelay,0s,,,
targetDc-14-20240608-15:20:43-136299,param,,,**.dc.stack.app[0].localPort,443,,,
targetDc-14-20240608-15:20:43-136299,param,,,**.fg.stack.numApps,1,,,
targetDc-14-20240608-15:20:43-136299,param,,,**.fg.stack.app[0].typename,"""TcpGenericServerApp""",,,
targetDc-14-20240608-15:20:43-136299,param,,,**.fg.stack.app[0].replyDelay,0s,,,
targetDc-14-20240608-15:20:43-136299,param,,,**.fg.stack.app[0].localPort,443,,,
targetDc-12-20240608-15:20:42-136299,runattr,,,configname,targetDc,,,
targetDc-12-20240608-15:20:42-136299,runattr,,,datetime,20240608-15:20:42,,,
targetDc-12-20240608-15:20:42-136299,runattr,,,experiment,targetDc,,,
targetDc-12-20240608-15:20:42-136299,runattr,,,inifile,omnetpp.ini,,,
targetDc-12-20240608-15:20:42-136299,runattr,,,iterationvars,,,,
targetDc-12-20240608-15:20:42-136299,runattr,,,iterationvarsf,,,,
targetDc-12-20240608-15:20:42-136299,runattr,,,measurement,,,,
targetDc-12-20240608-15:20:42-136299,runattr,,,network,SimpleFogNetwork,,,
targetDc-12-20240608-15:20:42-136299,runattr,,,processid,136299,,,
targetDc-12-20240608-15:20:42-136299,runattr,,,repetition,12,,,
targetDc-12-20240608-15:20:42-136299,runattr,,,replication,#12,,,
targetDc-12-20240608-15:20:42-136299,runattr,,,resultdir,results,,,
targetDc-12-20240608-15:20:42-136299,runattr,,,runnumber,12,,,
targetDc-12-20240608-15:20:42-136299,runattr,,,seedset,12,,,
targetDc-12-20240608-15:20:42-136299,param,,,**.tile*.serviceName,"""service""",,,
targetDc-12-20240608-15:20:42-136299,param,,,**.metropolitan.ipv4Delayer.config,"xmldoc(""metropolitan.xml"")",,,
targetDc-12-20240608-15:20:42-136299,param,,,**.backbone.ipv4Delayer.config,"xmldoc(""backbone.xml"")",,,
targetDc-12-20240608-15:20:42-136299,param,,,*.simData.simSchema.typename,"""SimSchemaMySQL""",,,
targetDc-12-20240608-15:20:42-136299,param,,,*.simData.simSchema.hostName,"""tcp://127.0.0.1:3306""",,,
targetDc-12-20240608-15:20:42-136299,param,,,*.simData.manager.experiment,"""Test""",,,
targetDc-12-20240608-15:20:42-136299,param,,,**.ipv4.arp.typename,"""GlobalArp""",,,
targetDc-12-20240608-15:20:42-136299,param,,,*.*.ipv4.routingTable.netmaskRoutes,"""""",,,
targetDc-12-20240608-15:20:42-136299,param,,,*.dc.numBlades,4,,,
targetDc-12-20240608-15:20:42-136299,param,,,*.dc.blade[*].staticAppAssignment,false,,,
targetDc-12-20240608-15:20:42-136299,param,,,*.dc.blade[*].isVirtualHardware,true,,,
targetDc-12-20240608-15:20:42-136299,param,,,*.dc.blade[*].maxUsers,24,,,
targetDc-12-20240608-15:20:42-136299,param,,,*.dc.blade[*].maxVMs,24,,,
targetDc-12-20240608-15:20:42-136299,param,,,*.dc.blade[*].numCpuCores,24,,,
targetDc-12-20240608-15:20:42-136299,param,,,*.dc.blade[*].memorySize,256GB,,,
targetDc-12-20240608-15:20:42-136299,param,,,*.dc.blade[*].diskSize,500GB,,,
targetDc-12-20240608-15:20:42-136299,param,,,*.dc.blade[*].diskReadBandwidth,500Mbps,,,
targetDc-12-20240608-15:20:42-136299,param,,,*.dc.blade[*].diskWriteBandwidth,500Mbps,,,
targetDc-12-20240608-15:20:42-136299,param,,,*.dc.blade[*].cpu.cpuCore[*].speed,60000,,,
targetDc-12-20240608-15:20:42-136299,param,,,*.dc.blade[*].cpu.cpuCore[*].tick,60s,,,
targetDc-12-20240608-15:20:42-136299,param,,,*.fg.numBlades,4,,,
targetDc-12-20240608-15:20:42-136299,param,,,*.fg.blade[*].staticAppAssignment,false,,,
targetDc-12-20240608-15:20:42-136299,param,,,*.fg.blade[*].isVirtualHardware,true,,,
targetDc-12-20240608-15:20:42-136299,param,,,*.fg.blade[*].maxUsers,24,,,
targetDc-12-20240608-15:20:42-136299,param,,,*.fg.blade[*].maxVMs,24,,,
targetDc-12-20240608-15:20:42-136299,param,,,*.fg.blade[*].numCpuCores,24,,,
targetDc-12-20240608-15:20:42-136299,param,,,*.fg.blade[*].memorySize,256GB,,,
targetDc-12-20240608-15:20:42-136299,param,,,*.fg.blade[*].diskSize,500GB,,,
targetDc-12-20240608-15:20:42-136299,param,,,*.fg.blade[*].diskReadBandwidth,500Mbps,,,
targetDc-12-20240608-15:20:42-136299,param,,,*.fg.blade[*].diskWriteBandwidth,500Mbps,,,
targetDc-12-20240608-15:20:42-136299,param,,,*.fg.blade[*].cpu.cpuCore[*].speed,60000,,,
targetDc-12-20240608-15:20:42-136299,param,,,*.fg.blade[*].cpu.cpuCore[*].tick,60s,,,
targetDc-12-20240608-15:20:42-136299,param,,,*.configurator.config,"xml(""<config> 	<interface hosts='*.dns' address='10.0.0.1'/> 	<interface hosts='**' address='10.x.x.x' netmask='255.x.x.x'/> </config>"")",,,
targetDc-12-20240608-15:20:42-136299,param,,,*.configurator.dumpConfig,"""ips.xml""",,,
targetDc-12-20240608-15:20:42-136299,param,,,*.tile*.sensors,2,,,
targetDc-12-20240608-15:20:42-136299,param,,,*.tile*.actuators,1,,,
targetDc-12-20240608-15:20:42-136299,param,,,*.tile*.controller*.hy.apps,"""SmartHomeAppEndToEnd""",,,
targetDc-12-20240608-15:20:42-136299,param,,,*.tile*.controller*.ns.dns,"""10.0.0.1""",,,
targetDc-12-20240608-15:20:42-136299,param,,,**.dc.**.enableQueue,false,,,
targetDc-12-20240608-15:20:42-136299,param,,,**.dc.**.hasCloudEvents,false,,,
targetDc-12-20240608-15:20:42-136299,param,,,**.dc.serviceDeployed,"""service""",,,
targetDc-12-20240608-15:20:42-136299,param,,,**.fg.**.enableQueue,false,,,
targetDc-12-20240608-15:20:42-136299,param,,,**.fg.**.hasCloudEvents,false,,,
targetDc-12-20240608-15:20:42-136299,param,,,**.fg.serviceDeployed,"""service2""",,,
targetDc-12-20240608-15:20:42-136299,param,,,**.dc.stack.numApps,1,,,
targetDc-12-20240608-15:20:42-136299,param,,,**.dc.stack.app[0].typename,"""TcpGenericServerApp""",,,
targetDc-12-20240608-15:20:42-136299,param,,,**.dc.stack.app[0].replyDelay,0s,,,
targetDc-12-20240608-15:20:42-136299,param,,,**.dc.stack.app[0].localPort,443,,,
targetDc-12-20240608-15:20:42-136299,param,,,**.fg.stack.numApps,1,,,
targetDc-12-20240608-15:20:42-136299,param,,,**.fg.stack.app[0].typename,"""TcpGenericServerApp""",,,
targetDc-12-20240608-15:20:42-136299,param,,,**.fg.stack.app[0].replyDelay,0s,,,
targetDc-12-20240608-15:20:42-136299,param,,,**.fg.stack.app[0].localPort,443,,,
targetDc-0-20240608-15:20:35-136299,runattr,,,configname,targetDc,,,
targetDc-0-20240608-15:20:35-136299,runattr,,,datetime,20240608-15:20:35,,,
targetDc-0-20240608-15:20:35-136299,runattr,,,experiment,targetDc,,,
targetDc-0-20240608-15:20:35-136299,runattr,,,inifile,omnetpp.ini,,,
targetDc-0-20240608-15:20:35-136299,runattr,,,iterationvars,,,,
targetDc-0-20240608-15:20:35-136299,runattr,,,iterationvarsf,,,,
targetDc-0-20240608-15:20:35-136299,runattr,,,measurement,,,,
targetDc-0-20240608-15:20:35-136299,runattr,,,network,SimpleFogNetwork,,,
targetDc-0-20240608-15:20:35-136299,runattr,,,processid,136299,,,
targetDc-0-20240608-15:20:35-136299,runattr,,,repetition,0,,,
targetDc-0-20240608-15:20:35-136299,runattr,,,replication,#0,,,
targetDc-0-20240608-15:20:35-136299,runattr,,,resultdir,results,,,
targetDc-0-20240608-15:20:35-136299,runattr,,,runnumber,0,,,
targetDc-0-20240608-15:20:35-136299,runattr,,,seedset,0,,,
targetDc-0-20240608-15:20:35-136299,param,,,**.tile*.serviceName,"""service""",,,
targetDc-0-20240608-15:20:35-136299,param,,,**.metropolitan.ipv4Delayer.config,"xmldoc(""metropolitan.xml"")",,,
targetDc-0-20240608-15:20:35-136299,param,,,**.backbone.ipv4Delayer.config,"xmldoc(""backbone.xml"")",,,
targetDc-0-20240608-15:20:35-136299,param,,,*.simData.simSchema.typename,"""SimSchemaMySQL""",,,
targetDc-0-20240608-15:20:35-136299,param,,,*.simData.simSchema.hostName,"""tcp://127.0.0.1:3306""",,,
targetDc-0-20240608-15:20:35-136299,param,,,*.simData.manager.experiment,"""Test""",,,
targetDc-0-20240608-15:20:35-136299,param,,,**.ipv4.arp.typename,"""GlobalArp""",,,
targetDc-0-20240608-15:20:35-136299,param,,,*.*.ipv4.routingTable.netmaskRoutes,"""""",,,
targetDc-0-20240608-15:20:35-136299,param,,,*.dc.numBlades,4,,,
targetDc-0-20240608-15:20:35-136299,param,,,*.dc.blade[*].staticAppAssignment,false,,,
targetDc-0-20240608-15:20:35-136299,param,,,*.dc.blade[*].isVirtualHardware,true,,,
targetDc-0-20240608-15:20:35-136299,param,,,*.dc.blade[*].maxUsers,24,,,
targetDc-0-20240608-15:20:35-136299,param,,,*.dc.blade[*].maxVMs,24,,,
targetDc-0-20240608-15:20:35-136299,param,,,*.dc.blade[*].numCpuCores,24,,,
targetDc-0-20240608-15:20:35-136299,param,,,*.dc.blade[*].memorySize,256GB,,,
targetDc-0-20240608-15:20:35-136299,param,,,*.dc.blade[*].diskSize,500GB,,,
targetDc-0-20240608-15:20:35-136299,param,,,*.dc.blade[*].diskReadBandwidth,500Mbps,,,
targetDc-0-20240608-15:20:35-136299,param,,,*.dc.blade[*].diskWriteBandwidth,500Mbps,,,
targetDc-0-20240608-15:20:35-136299,param,,,*.dc.blade[*].cpu.cpuCore[*].speed,60000,,,
targetDc-0-20240608-15:20:35-136299,param,,,*.dc.blade[*].cpu.cpuCore[*].tick,60s,,,
targetDc-0-20240608-15:20:35-136299,param,,,*.fg.numBlades,4,,,
targetDc-0-20240608-15:20:35-136299,param,,,*.fg.blade[*].staticAppAssignment,false,,,
targetDc-0-20240608-15:20:35-136299,param,,,*.fg.blade[*].isVirtualHardware,true,,,
targetDc-0-20240608-15:20:35-136299,param,,,*.fg.blade[*].maxUsers,24,,,
targetDc-0-20240608-15:20:35-136299,param,,,*.fg.blade[*].maxVMs,24,,,
targetDc-0-20240608-15:20:35-136299,param,,,*.fg.blade[*].numCpuCores,24,,,
targetDc-0-20240608-15:20:35-136299,param,,,*.fg.blade[*].memorySize,256GB,,,
targetDc-0-20240608-15:20:35-136299,param,,,*.fg.blade[*].diskSize,500GB,,,
targetDc-0-20240608-15:20:35-136299,param,,,*.fg.blade[*].diskReadBandwidth,500Mbps,,,
targetDc-0-20240608-15:20:35-136299,param,,,*.fg.blade[*].diskWriteBandwidth,500Mbps,,,
targetDc-0-20240608-15:20:35-136299,param,,,*.fg.blade[*].cpu.cpuCore[*].speed,60000,,,
targetDc-0-20240608-15:20:35-136299,param,,,*.fg.blade[*].cpu.cpuCore[*].tick,60s,,,
targetDc-0-20240608-15:20:35-136299,param,,,*.configurator.config,"xml(""<config> 	<interface hosts='*.dns' address='10.0.0.1'/> 	<interface hosts='**' address='10.x.x.x' netmask='255.x.x.x'/> </config>"")",,,
targetDc-0-20240608-15:20:35-136299,param,,,*.configurator.dumpConfig,"""ips.xml""",,,
targetDc-0-20240608-15:20:35-136299,param,,,*.tile*.sensors,2,,,
targetDc-0-20240608-15:20:35-136299,param,,,*.tile*.actuators,1,,,
targetDc-0-20240608-15:20:35-136299,param,,,*.tile*.controller*.hy.apps,"""SmartHomeAppEndToEnd""",,,
targetDc-0-20240608-15:20:35-136299,param,,,*.tile*.controller*.ns.dns,"""10.0.0.1""",,,
targetDc-0-20240608-15:20:35-136299,param,,,**.dc.**.enableQueue,false,,,
targetDc-0-20240608-15:20:35-136299,param,,,**.dc.**.hasCloudEvents,false,,,
