run,type,module,name,attrname,attrvalue,vectime,vecvalue
targetFog-0-20250510-20:45:52-55490,config,,,*.users*.enableRouterAsUplink,false,,
targetFog-0-20250510-20:45:52-55490,config,,,**.tcp.mss,1460,,
targetFog-0-20250510-20:45:52-55490,config,,,*.configurator.config,"readXML(""network/fastnetworkconf.xml"")",,
targetFog-0-20250510-20:45:52-55490,config,,,*.dc.numBlades,40,,
targetFog-0-20250510-20:45:52-55490,config,,,*.dc.blade[*].staticAppAssignment,false,,
targetFog-0-20250510-20:45:52-55490,config,,,*.dc.blade[*].maxUsers,16,,
targetFog-0-20250510-20:45:52-55490,config,,,*.dc.blade[*].maxVMs,16,,
targetFog-0-20250510-20:45:52-55490,config,,,*.dc.blade[*].numCpuCores,16,,
targetFog-0-20250510-20:45:52-55490,config,,,*.dc.blade[*].memorySize,64GB,,
targetFog-0-20250510-20:45:52-55490,config,,,*.dc.blade[*].diskSize,4000GB,,
targetFog-0-20250510-20:45:52-55490,config,,,*.dc.blade[*].diskReadBandwidth,500Mbps,,
targetFog-0-20250510-20:45:52-55490,config,,,*.dc.blade[*].diskWriteBandwidth,500Mbps,,
targetFog-0-20250510-20:45:52-55490,config,,,*.dc.blade[*].cpu.cpuCore[*].speed,60000,,
targetFog-0-20250510-20:45:52-55490,config,,,*.dc.blade[*].cpu.cpuCore[*].tick,60s,,
targetFog-0-20250510-20:45:52-55490,config,,,*.fg*.numBlades,1,,
targetFog-0-20250510-20:45:52-55490,config,,,*.fg*.blade[*].staticAppAssignment,false,,
targetFog-0-20250510-20:45:52-55490,config,,,*.fg*.blade[*].maxUsers,8,,
targetFog-0-20250510-20:45:52-55490,config,,,*.fg*.blade[*].maxVMs,8,,
targetFog-0-20250510-20:45:52-55490,config,,,*.fg*.blade[*].numCpuCores,8,,
targetFog-0-20250510-20:45:52-55490,config,,,*.fg*.blade[*].memorySize,16GiB,,
targetFog-0-20250510-20:45:52-55490,config,,,*.fg*.blade[*].diskSize,2TiB,,
targetFog-0-20250510-20:45:52-55490,config,,,*.fg*.blade[*].diskReadBandwidth,500Mbps,,
targetFog-0-20250510-20:45:52-55490,config,,,*.fg*.blade[*].diskWriteBandwidth,500Mbps,,
targetFog-0-20250510-20:45:52-55490,config,,,*.fg*.blade[*].cpu.cpuCore[*].speed,60000,,
targetFog-0-20250510-20:45:52-55490,config,,,*.fg*.blade[*].cpu.cpuCore[*].tick,60s,,
targetFog-0-20250510-20:45:52-55490,config,,,*.dc.zone,"""cloud""",,
targetFog-0-20250510-20:45:52-55490,config,,,*.fgA*.zone,"""edge-a""",,
targetFog-0-20250510-20:45:52-55490,config,,,*.fgB*.zone,"""edge-b""",,
targetFog-0-20250510-20:45:52-55490,config,,,*.fgC*.zone,"""edge-c""",,
targetFog-0-20250510-20:45:52-55490,config,,,*.fgD*.zone,"""edge-d""",,
targetFog-0-20250510-20:45:52-55490,config,,,*.fgE*.zone,"""edge-e""",,
targetFog-0-20250510-20:45:52-55490,config,,,**.dataManagerPath,"""simData.manager""",,
targetFog-0-20250510-20:45:52-55490,config,,,**.smqIp,"""10.0.0.1""",,
targetFog-0-20250510-20:45:52-55490,config,,,**.dns,"""10.0.0.2""",,
targetFog-0-20250510-20:45:52-55490,config,,,**.ispResolver,"""10.0.0.2""",,
targetFog-0-20250510-20:45:52-55490,config,,,*.usersA[0..1].typename,SmartBuilding,,
targetFog-0-20250510-20:45:52-55490,config,,,*.usersA[2..3].typename,SmartFactory,,
targetFog-0-20250510-20:45:52-55490,config,,,*.usersA[4..7].typename,SmartFarm,,
targetFog-0-20250510-20:45:52-55490,config,,,*.usersA[8..19].typename,SmartHouse,,
targetFog-0-20250510-20:45:52-55490,config,,,*.usersB[0..1].typename,SmartBuilding,,
targetFog-0-20250510-20:45:52-55490,config,,,*.usersB[2..3].typename,SmartFactory,,
targetFog-0-20250510-20:45:52-55490,config,,,*.usersB[4..7].typename,SmartFarm,,
targetFog-0-20250510-20:45:52-55490,config,,,*.usersB[8..19].typename,SmartHouse,,
targetFog-0-20250510-20:45:52-55490,config,,,*.usersC[0..1].typename,SmartBuilding,,
targetFog-0-20250510-20:45:52-55490,config,,,*.usersC[2..3].typename,SmartFactory,,
targetFog-0-20250510-20:45:52-55490,config,,,*.usersC[4..7].typename,SmartFarm,,
targetFog-0-20250510-20:45:52-55490,config,,,*.usersC[8..19].typename,SmartHouse,,
targetFog-0-20250510-20:45:52-55490,config,,,*.usersD[0..1].typename,SmartBuilding,,
targetFog-0-20250510-20:45:52-55490,config,,,*.usersD[2..3].typename,SmartFactory,,
targetFog-0-20250510-20:45:52-55490,config,,,*.usersD[4..7].typename,SmartFarm,,
targetFog-0-20250510-20:45:52-55490,config,,,*.usersD[8..19].typename,SmartHouse,,
targetFog-0-20250510-20:45:52-55490,config,,,*.usersE[0..1].typename,SmartBuilding,,
targetFog-0-20250510-20:45:52-55490,config,,,*.usersE[2..3].typename,SmartFactory,,
targetFog-0-20250510-20:45:52-55490,config,,,*.usersE[4..7].typename,SmartFarm,,
targetFog-0-20250510-20:45:52-55490,config,,,*.usersE[8..19].typename,SmartHouse,,
targetFog-0-20250510-20:45:52-55490,config,,,*.users*[0..1].user.startupTime,0.75s,,
targetFog-0-20250510-20:45:52-55490,vector,BigNet.dc.resourceManager,allocatedVms:vector,,,"1.242465471978 1.242465697258 1.245197671585 1.247792437985 1.247792663265 1.253517685931 1.253517958251 1.253518189931 1.253518189931 1.253518189931 1.258475810643 1.258476053683 1.260078463928 1.263245889179 1.263246114459 4.227660857286 4.241443025739 4.241443251019 4.24515817157 4.249185539273","1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
targetFog-0-20250510-20:45:52-55490,attr,BigNet.dc.resourceManager,allocatedVms:vector,recordingmode,vector,,
targetFog-0-20250510-20:45:52-55490,attr,BigNet.dc.resourceManager,allocatedVms:vector,source,allocatedVms,,
targetFog-0-20250510-20:45:52-55490,attr,BigNet.dc.resourceManager,allocatedVms:vector,title,VMs reservadas,,
targetFog-0-20250510-20:45:52-55490,vector,BigNet.dc.resourceManager,allocatedCores:vector,,,"1.242465471978 1.242465697258 1.245197671585 1.247792437985 1.247792663265 1.253517685931 1.253517958251 1.253518189931 1.253518189931 1.253518189931 1.258475810643 1.258476053683 1.260078463928 1.263245889179 1.263246114459 4.227660857286 4.241443025739 4.241443251019 4.24515817157 4.249185539273","1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
targetFog-0-20250510-20:45:52-55490,attr,BigNet.dc.resourceManager,allocatedCores:vector,recordingmode,vector,,
targetFog-0-20250510-20:45:52-55490,attr,BigNet.dc.resourceManager,allocatedCores:vector,source,allocatedCores,,
targetFog-0-20250510-20:45:52-55490,attr,BigNet.dc.resourceManager,allocatedCores:vector,title,CPUs reservadas,,
targetFog-0-20250510-20:45:52-55490,vector,BigNet.dc.resourceManager,allocatedRam:vector,,,"1.242465471978 1.242465697258 1.245197671585 1.247792437985 1.247792663265 1.253517685931 1.253517958251 1.253518189931 1.253518189931 1.253518189931 1.258475810643 1.258476053683 1.260078463928 1.263245889179 1.263246114459 4.227660857286 4.241443025739 4.241443251019 4.24515817157 4.249185539273","2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2"
targetFog-0-20250510-20:45:52-55490,attr,BigNet.dc.resourceManager,allocatedRam:vector,recordingmode,vector,,
targetFog-0-20250510-20:45:52-55490,attr,BigNet.dc.resourceManager,allocatedRam:vector,source,allocatedRam,,
targetFog-0-20250510-20:45:52-55490,attr,BigNet.dc.resourceManager,allocatedRam:vector,title,Memoria RAM reservada,,
targetFog-0-20250510-20:45:52-55490,attr,BigNet.dc.resourceManager,allocatedRam:vector,unit,GB,,
targetFog-0-20250510-20:45:52-55490,vector,BigNet.dc.resourceManager,allocatedDisk:vector,,,"1.242465471978 1.242465697258 1.245197671585 1.247792437985 1.247792663265 1.253517685931 1.253517958251 1.253518189931 1.253518189931 1.253518189931 1.258475810643 1.258476053683 1.260078463928 1.263245889179 1.263246114459 4.227660857286 4.241443025739 4.241443251019 4.24515817157 4.249185539273","250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250"
targetFog-0-20250510-20:45:52-55490,attr,BigNet.dc.resourceManager,allocatedDisk:vector,recordingmode,vector,,
targetFog-0-20250510-20:45:52-55490,attr,BigNet.dc.resourceManager,allocatedDisk:vector,source,allocatedDisk,,
targetFog-0-20250510-20:45:52-55490,attr,BigNet.dc.resourceManager,allocatedDisk:vector,title,Almacenamiento reservado,,
targetFog-0-20250510-20:45:52-55490,attr,BigNet.dc.resourceManager,allocatedDisk:vector,unit,GB,,
