run,type,module,name,attrname,attrvalue,vectime,vecvalue
targetDc-0-20250510-21:01:22-59696,config,,,*.dc.blade[*].maxUsers,16,,
targetDc-0-20250510-21:01:22-59696,config,,,*.dc.blade[*].maxVMs,16,,
targetDc-0-20250510-21:01:22-59696,config,,,*.dc.blade[*].numCpuCores,16,,
targetDc-0-20250510-21:01:22-59696,config,,,*.dc.blade[*].memorySize,64GB,,
targetDc-0-20250510-21:01:22-59696,config,,,*.dc.blade[*].diskSize,4000GB,,
targetDc-0-20250510-21:01:22-59696,config,,,*.dc.blade[*].diskReadBandwidth,500Mbps,,
targetDc-0-20250510-21:01:22-59696,config,,,*.dc.blade[*].diskWriteBandwidth,500Mbps,,
targetDc-0-20250510-21:01:22-59696,config,,,*.dc.blade[*].cpu.cpuCore[*].speed,60000,,
targetDc-0-20250510-21:01:22-59696,config,,,*.dc.blade[*].cpu.cpuCore[*].tick,60s,,
targetDc-0-20250510-21:01:22-59696,config,,,*.fg*.numBlades,1,,
targetDc-0-20250510-21:01:22-59696,config,,,*.fg*.blade[*].staticAppAssignment,false,,
targetDc-0-20250510-21:01:22-59696,config,,,*.fg*.blade[*].maxUsers,8,,
targetDc-0-20250510-21:01:22-59696,config,,,*.fg*.blade[*].maxVMs,8,,
targetDc-0-20250510-21:01:22-59696,config,,,*.fg*.blade[*].numCpuCores,8,,
targetDc-0-20250510-21:01:22-59696,config,,,*.fg*.blade[*].memorySize,16GiB,,
targetDc-0-20250510-21:01:22-59696,config,,,*.fg*.blade[*].diskSize,2TiB,,
targetDc-0-20250510-21:01:22-59696,config,,,*.fg*.blade[*].diskReadBandwidth,500Mbps,,
targetDc-0-20250510-21:01:22-59696,config,,,*.fg*.blade[*].diskWriteBandwidth,500Mbps,,
targetDc-0-20250510-21:01:22-59696,config,,,*.fg*.blade[*].cpu.cpuCore[*].speed,60000,,
targetDc-0-20250510-21:01:22-59696,config,,,*.fg*.blade[*].cpu.cpuCore[*].tick,60s,,
targetDc-0-20250510-21:01:22-59696,config,,,*.dc.zone,"""cloud""",,
targetDc-0-20250510-21:01:22-59696,config,,,*.fgA*.zone,"""edge-a""",,
targetDc-0-20250510-21:01:22-59696,config,,,*.fgB*.zone,"""edge-b""",,
targetDc-0-20250510-21:01:22-59696,config,,,*.fgC*.zone,"""edge-c""",,
targetDc-0-20250510-21:01:22-59696,config,,,*.fgD*.zone,"""edge-d""",,
targetDc-0-20250510-21:01:22-59696,config,,,*.fgE*.zone,"""edge-e""",,
targetDc-0-20250510-21:01:22-59696,config,,,**.dataManagerPath,"""simData.manager""",,
targetDc-0-20250510-21:01:22-59696,config,,,**.smqIp,"""10.0.0.1""",,
targetDc-0-20250510-21:01:22-59696,config,,,**.dns,"""10.0.0.2""",,
targetDc-0-20250510-21:01:22-59696,config,,,**.ispResolver,"""10.0.0.2""",,
targetDc-0-20250510-21:01:22-59696,config,,,*.usersA[0..1].typename,SmartBuilding,,
targetDc-0-20250510-21:01:22-59696,config,,,*.usersA[2..3].typename,SmartFactory,,
targetDc-0-20250510-21:01:22-59696,config,,,*.usersA[4..7].typename,SmartFarm,,
targetDc-0-20250510-21:01:22-59696,config,,,*.usersA[8..19].typename,SmartHouse,,
targetDc-0-20250510-21:01:22-59696,config,,,*.usersB[0..1].typename,SmartBuilding,,
targetDc-0-20250510-21:01:22-59696,config,,,*.usersB[2..3].typename,SmartFactory,,
targetDc-0-20250510-21:01:22-59696,config,,,*.usersB[4..7].typename,SmartFarm,,
targetDc-0-20250510-21:01:22-59696,config,,,*.usersB[8..19].typename,SmartHouse,,
targetDc-0-20250510-21:01:22-59696,config,,,*.usersC[0..1].typename,SmartBuilding,,
targetDc-0-20250510-21:01:22-59696,config,,,*.usersC[2..3].typename,SmartFactory,,
targetDc-0-20250510-21:01:22-59696,config,,,*.usersC[4..7].typename,SmartFarm,,
targetDc-0-20250510-21:01:22-59696,config,,,*.usersC[8..19].typename,SmartHouse,,
targetDc-0-20250510-21:01:22-59696,config,,,*.usersD[0..1].typename,SmartBuilding,,
targetDc-0-20250510-21:01:22-59696,config,,,*.usersD[2..3].typename,SmartFactory,,
targetDc-0-20250510-21:01:22-59696,config,,,*.usersD[4..7].typename,SmartFarm,,
targetDc-0-20250510-21:01:22-59696,config,,,*.usersD[8..19].typename,SmartHouse,,
targetDc-0-20250510-21:01:22-59696,config,,,*.usersE[0..1].typename,SmartBuilding,,
targetDc-0-20250510-21:01:22-59696,config,,,*.usersE[2..3].typename,SmartFactory,,
targetDc-0-20250510-21:01:22-59696,config,,,*.usersE[4..7].typename,SmartFarm,,
targetDc-0-20250510-21:01:22-59696,config,,,*.usersE[8..19].typename,SmartHouse,,
targetDc-0-20250510-21:01:22-59696,config,,,*.users*[0..1].user.startupTime,0.75s,,
