run,type,module,name,attrname,attrvalue,vectime,vecvalue
targetDc-0-20250510-20:45:55-55496,config,,,*.dc.blade[*].maxUsers,16,,
targetDc-0-20250510-20:45:55-55496,config,,,*.dc.blade[*].maxVMs,16,,
targetDc-0-20250510-20:45:55-55496,config,,,*.dc.blade[*].numCpuCores,16,,
targetDc-0-20250510-20:45:55-55496,config,,,*.dc.blade[*].memorySize,64GB,,
targetDc-0-20250510-20:45:55-55496,config,,,*.dc.blade[*].diskSize,4000GB,,
targetDc-0-20250510-20:45:55-55496,config,,,*.dc.blade[*].diskReadBandwidth,500Mbps,,
targetDc-0-20250510-20:45:55-55496,config,,,*.dc.blade[*].diskWriteBandwidth,500Mbps,,
targetDc-0-20250510-20:45:55-55496,config,,,*.dc.blade[*].cpu.cpuCore[*].speed,60000,,
targetDc-0-20250510-20:45:55-55496,config,,,*.dc.blade[*].cpu.cpuCore[*].tick,60s,,
targetDc-0-20250510-20:45:55-55496,config,,,*.fg*.numBlades,1,,
targetDc-0-20250510-20:45:55-55496,config,,,*.fg*.blade[*].staticAppAssignment,false,,
targetDc-0-20250510-20:45:55-55496,config,,,*.fg*.blade[*].maxUsers,8,,
targetDc-0-20250510-20:45:55-55496,config,,,*.fg*.blade[*].maxVMs,8,,
targetDc-0-20250510-20:45:55-55496,config,,,*.fg*.blade[*].numCpuCores,8,,
targetDc-0-20250510-20:45:55-55496,config,,,*.fg*.blade[*].memorySize,16GiB,,
targetDc-0-20250510-20:45:55-55496,config,,,*.fg*.blade[*].diskSize,2TiB,,
targetDc-0-20250510-20:45:55-55496,config,,,*.fg*.blade[*].diskReadBandwidth,500Mbps,,
targetDc-0-20250510-20:45:55-55496,config,,,*.fg*.blade[*].diskWriteBandwidth,500Mbps,,
targetDc-0-20250510-20:45:55-55496,config,,,*.fg*.blade[*].cpu.cpuCore[*].speed,60000,,
targetDc-0-20250510-20:45:55-55496,config,,,*.fg*.blade[*].cpu.cpuCore[*].tick,60s,,
targetDc-0-20250510-20:45:55-55496,config,,,*.dc.zone,"""cloud""",,
targetDc-0-20250510-20:45:55-55496,config,,,*.fgA*.zone,"""edge-a""",,
targetDc-0-20250510-20:45:55-55496,config,,,*.fgB*.zone,"""edge-b""",,
targetDc-0-20250510-20:45:55-55496,config,,,*.fgC*.zone,"""edge-c""",,
targetDc-0-20250510-20:45:55-55496,config,,,*.fgD*.zone,"""edge-d""",,
targetDc-0-20250510-20:45:55-55496,config,,,*.fgE*.zone,"""edge-e""",,
targetDc-0-20250510-20:45:55-55496,config,,,**.dataManagerPath,"""simData.manager""",,
targetDc-0-20250510-20:45:55-55496,config,,,**.smqIp,"""10.0.0.1""",,
targetDc-0-20250510-20:45:55-55496,config,,,**.dns,"""10.0.0.2""",,
targetDc-0-20250510-20:45:55-55496,config,,,**.ispResolver,"""10.0.0.2""",,
targetDc-0-20250510-20:45:55-55496,config,,,*.usersA[0..1].typename,SmartBuilding,,
