run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
targetDc-0-20240612-20:55:21-5826,param,,,**.fg*.stack.app[0].localPort,443,,,
targetDc-0-20240612-20:55:21-5826,param,,,**.fg*.**.enableQueue,false,,,
targetDc-0-20240612-20:55:21-5826,param,,,**.fg*.**.hasCloudEvents,false,,,
targetDc-0-20240612-20:55:21-5826,param,,,**.fgA1.serviceDeployed,"""fgA1""",,,
targetDc-0-20240612-20:55:21-5826,param,,,**.fgA2.serviceDeployed,"""fgA2""",,,
targetDc-0-20240612-20:55:21-5826,param,,,**.fgA3.serviceDeployed,"""fgA3""",,,
targetDc-0-20240612-20:55:21-5826,param,,,**.fgB1.serviceDeployed,"""fgB1""",,,
targetDc-0-20240612-20:55:21-5826,param,,,**.fgB2.serviceDeployed,"""fgB2""",,,
targetDc-0-20240612-20:55:21-5826,param,,,**.fgB3.serviceDeployed,"""fgB3""",,,
targetDc-0-20240612-20:55:21-5826,param,,,**.fgC1.serviceDeployed,"""fgC1""",,,
targetDc-0-20240612-20:55:21-5826,param,,,**.fgC2.serviceDeployed,"""fgC2""",,,
targetDc-0-20240612-20:55:21-5826,param,,,**.fgC3.serviceDeployed,"""fgC3""",,,
targetDc-0-20240612-20:55:21-5826,param,,,**.fgD1.serviceDeployed,"""fgD1""",,,
targetDc-0-20240612-20:55:21-5826,param,,,**.fgD2.serviceDeployed,"""fgD2""",,,
targetDc-0-20240612-20:55:21-5826,param,,,**.fgD3.serviceDeployed,"""fgD3""",,,
targetDc-0-20240612-20:55:21-5826,param,,,**.fgE1.serviceDeployed,"""fgE1""",,,
targetDc-0-20240612-20:55:21-5826,param,,,**.fgE2.serviceDeployed,"""fgE2""",,,
targetDc-0-20240612-20:55:21-5826,param,,,**.fgE3.serviceDeployed,"""fgE3""",,,
targetDc-0-20240612-20:55:21-5826,param,,,*.usersA[0..1].typename,"""SmartFactory""",,,
targetDc-0-20240612-20:55:21-5826,param,,,*.usersA[2..3].typename,"""SmartBuilding""",,,
targetDc-0-20240612-20:55:21-5826,param,,,*.usersA[4..7].typename,"""SmartFarm""",,,
targetDc-0-20240612-20:55:21-5826,param,,,*.usersA[8..19].typename,"""SmartHouse""",,,
targetDc-0-20240612-20:55:21-5826,param,,,*.usersB[0..1].typename,"""SmartFactory""",,,
targetDc-0-20240612-20:55:21-5826,param,,,*.usersB[2..3].typename,"""SmartBuilding""",,,
targetDc-0-20240612-20:55:21-5826,param,,,*.usersB[4..7].typename,"""SmartFarm""",,,
targetDc-0-20240612-20:55:21-5826,param,,,*.usersB[8..19].typename,"""SmartHouse""",,,
targetDc-0-20240612-20:55:21-5826,param,,,*.usersC[0..1].typename,"""SmartFactory""",,,
targetDc-0-20240612-20:55:21-5826,param,,,*.usersC[2..3].typename,"""SmartBuilding""",,,
targetDc-0-20240612-20:55:21-5826,param,,,*.usersC[4..7].typename,"""SmartFarm""",,,
targetDc-0-20240612-20:55:21-5826,param,,,*.usersC[8..19].typename,"""SmartHouse""",,,
targetDc-0-20240612-20:55:21-5826,param,,,*.usersD[0..1].typename,"""SmartFactory""",,,
targetDc-0-20240612-20:55:21-5826,param,,,*.usersD[2..3].typename,"""SmartBuilding""",,,
targetDc-0-20240612-20:55:21-5826,param,,,*.usersD[4..7].typename,"""SmartFarm""",,,
targetDc-0-20240612-20:55:21-5826,param,,,*.usersD[8..19].typename,"""SmartHouse""",,,
targetDc-0-20240612-20:55:21-5826,param,,,*.usersE[0..1].typename,"""SmartFactory""",,,
targetDc-0-20240612-20:55:21-5826,param,,,*.usersE[2..3].typename,"""SmartBuilding""",,,
targetDc-0-20240612-20:55:21-5826,param,,,*.usersE[4..7].typename,"""SmartFarm""",,,
targetDc-0-20240612-20:55:21-5826,param,,,*.usersE[8..19].typename,"""SmartHouse""",,,
