run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
targetFog-0-20240612-20:57:09-6213,param,,,*.fg*.blade[*].diskWriteBandwidth,500Mbps,,,
targetFog-0-20240612-20:57:09-6213,param,,,*.fg*.blade[*].cpu.cpuCore[*].speed,60000,,,
targetFog-0-20240612-20:57:09-6213,param,,,*.fg*.blade[*].cpu.cpuCore[*].tick,60s,,,
targetFog-0-20240612-20:57:09-6213,param,,,*.configurator.config,"xml(""<config> 	<interface hosts='*.dns' address='10.0.0.1'/> 	<interface hosts='**' address='10.x.x.x' netmask='255.x.x.x'/> </config>"")",,,
targetFog-0-20240612-20:57:09-6213,param,,,**.dc.serviceDeployed,"""service""",,,
targetFog-0-20240612-20:57:09-6213,param,,,**.dc.**.hasCloudEvents,false,,,
targetFog-0-20240612-20:57:09-6213,param,,,**.dc.**.enableQueue,false,,,
targetFog-0-20240612-20:57:09-6213,param,,,**.dc.stack.numApps,1,,,
targetFog-0-20240612-20:57:09-6213,param,,,**.dc.stack.app[0].typename,"""SimService""",,,
targetFog-0-20240612-20:57:09-6213,param,,,**.dc.stack.app[0].replyDelay,0s,,,
targetFog-0-20240612-20:57:09-6213,param,,,**.dc.stack.app[0].localPort,443,,,
targetFog-0-20240612-20:57:09-6213,param,,,**.fg*.stack.numApps,1,,,
targetFog-0-20240612-20:57:09-6213,param,,,**.fg*.stack.app[0].typename,"""SimService""",,,
targetFog-0-20240612-20:57:09-6213,param,,,**.fg*.stack.app[0].replyDelay,0s,,,
targetFog-0-20240612-20:57:09-6213,param,,,**.fg*.stack.app[0].localPort,443,,,
targetFog-0-20240612-20:57:09-6213,param,,,**.fg*.**.enableQueue,false,,,
targetFog-0-20240612-20:57:09-6213,param,,,**.fg*.**.hasCloudEvents,false,,,
targetFog-0-20240612-20:57:09-6213,param,,,**.fgA1.serviceDeployed,"""fgA1""",,,
targetFog-0-20240612-20:57:09-6213,param,,,**.fgA2.serviceDeployed,"""fgA2""",,,
targetFog-0-20240612-20:57:09-6213,param,,,**.fgA3.serviceDeployed,"""fgA3""",,,
targetFog-0-20240612-20:57:09-6213,param,,,**.fgB1.serviceDeployed,"""fgB1""",,,
targetFog-0-20240612-20:57:09-6213,param,,,**.fgB2.serviceDeployed,"""fgB2""",,,
targetFog-0-20240612-20:57:09-6213,param,,,**.fgB3.serviceDeployed,"""fgB3""",,,
targetFog-0-20240612-20:57:09-6213,param,,,**.fgC1.serviceDeployed,"""fgC1""",,,
targetFog-0-20240612-20:57:09-6213,param,,,**.fgC2.serviceDeployed,"""fgC2""",,,
targetFog-0-20240612-20:57:09-6213,param,,,**.fgC3.serviceDeployed,"""fgC3""",,,
targetFog-0-20240612-20:57:09-6213,param,,,**.fgD1.serviceDeployed,"""fgD1""",,,
targetFog-0-20240612-20:57:09-6213,param,,,**.fgD2.serviceDeployed,"""fgD2""",,,
targetFog-0-20240612-20:57:09-6213,param,,,**.fgD3.serviceDeployed,"""fgD3""",,,
targetFog-0-20240612-20:57:09-6213,param,,,**.fgE1.serviceDeployed,"""fgE1""",,,
targetFog-0-20240612-20:57:09-6213,param,,,**.fgE2.serviceDeployed,"""fgE2""",,,
targetFog-0-20240612-20:57:09-6213,param,,,**.fgE3.serviceDeployed,"""fgE3""",,,
targetFog-0-20240612-20:57:09-6213,param,,,*.usersA[0..1].typename,"""SmartFactory""",,,
targetFog-0-20240612-20:57:09-6213,param,,,*.usersA[2..3].typename,"""SmartBuilding""",,,
targetFog-0-20240612-20:57:09-6213,param,,,*.usersA[4..7].typename,"""SmartFarm""",,,
targetFog-0-20240612-20:57:09-6213,param,,,*.usersA[8..19].typename,"""SmartHouse""",,,
targetFog-0-20240612-20:57:09-6213,param,,,*.usersB[0..1].typename,"""SmartFactory""",,,
targetFog-0-20240612-20:57:09-6213,param,,,*.usersB[2..3].typename,"""SmartBuilding""",,,
targetFog-0-20240612-20:57:09-6213,param,,,*.usersB[4..7].typename,"""SmartFarm""",,,
targetFog-0-20240612-20:57:09-6213,param,,,*.usersB[8..19].typename,"""SmartHouse""",,,
targetFog-0-20240612-20:57:09-6213,param,,,*.usersC[0..1].typename,"""SmartFactory""",,,
targetFog-0-20240612-20:57:09-6213,param,,,*.usersC[2..3].typename,"""SmartBuilding""",,,
targetFog-0-20240612-20:57:09-6213,param,,,*.usersC[4..7].typename,"""SmartFarm""",,,
targetFog-0-20240612-20:57:09-6213,param,,,*.usersC[8..19].typename,"""SmartHouse""",,,
targetFog-0-20240612-20:57:09-6213,param,,,*.usersD[0..1].typename,"""SmartFactory""",,,
targetFog-0-20240612-20:57:09-6213,param,,,*.usersD[2..3].typename,"""SmartBuilding""",,,
targetFog-0-20240612-20:57:09-6213,param,,,*.usersD[4..7].typename,"""SmartFarm""",,,
targetFog-0-20240612-20:57:09-6213,param,,,*.usersD[8..19].typename,"""SmartHouse""",,,
targetFog-0-20240612-20:57:09-6213,param,,,*.usersE[0..1].typename,"""SmartFactory""",,,
targetFog-0-20240612-20:57:09-6213,param,,,*.usersE[2..3].typename,"""SmartBuilding""",,,
